Toipic/Chapter Name,Toipic/Chapter Name,Video Description,Video URL
Section 4,CSS Max-Height Property,CSS Max-Height Property,https://vimeo.com/669499646
Section 4,CSS Minimum Height Property,CSS Minimum Height Property,https://vimeo.com/669500318
Section 4,CSS Object - Fit Property,CSS Object - Fit Property,https://vimeo.com/669500716
Section 4,CSS Order Property,CSS Order Property,https://vimeo.com/669501506
Section 4,CSS Outline - Offset Property,CSS Outline - Offset Property,https://vimeo.com/669502090
Section 4,CSS Overflow Property,CSS Overflow Property,https://vimeo.com/669502602
Section 4,CSS Padding Property,CSS Padding Property,https://vimeo.com/669503139
Section 4,CSS Padding - Right Property,CSS Padding - Right Property,https://vimeo.com/669503627
Section 4,CSS Page - Break - Before Property,CSS Page - Break - Before Property,https://vimeo.com/669504145
Section 5,CSS Perspective -Origin Property,CSS Perspective -Origin Property,https://vimeo.com/669504570
Section 5,CSS Quotes Property,CSS Quotes Property,https://vimeo.com/669505009
Section 5,CSS Row Gap Property,CSS Row Gap Property,https://vimeo.com/669505726
Section 5,CSS Table - Layout Property,CSS Table - Layout Property,https://vimeo.com/669506324
Section 5,CSS Text - Decoration Property,CSS Text - Decoration Property,https://vimeo.com/669506945
Section 5,CSS Unicode - Bidi Property,CSS Unicode - Bidi Property,https://vimeo.com/669507359
Section 5,CSS Visibility Property,CSS Visibility Property,https://vimeo.com/669507830
Section 5,CSS word wrap Property,CSS word wrap Property,https://vimeo.com/669508285
